mid,title,year,grade
314,The Blues Brothers,1980,4
315,Dragnet,1987,4
316,Christmas with the Kranks,2004,5
317,Chaplin,1992,8
318,A Little Romance,1979,4
319,Glengarry Glen Ross,1992,2
320,Dick Tracy,1990,4
321,Author! Author!,1982,7
322,The Odd Couple,1968,7
323,The Apartment,1960,5
324,Under the Tuscan Sun,2003,7
325,Driving Miss Daisy,1989,9
326,The Man with One Red Shoe,1985,6
327,Three Men and a Baby,1987,5
328,Mr. Baseball,1992,6
329,History of the World: Part I,1981,3
330,Citizen Kane,1941,10
331,Bird on a Wire,1990,6
332,Overboard,1987,5
333,Protocol,1984,4
334,Foul Play,1978,7
335,HouseSitter,1992,5
336,Cheaper by the Dozen,2003,4
337,Parenthood,1989,4
338,Dirty Rotten Scoundrels,1988,7
339,"Planes, Trains and Automobiles",1987,3
340,Roxanne,1987,5
341,Little Shop of Horrors,1986,7
342,Three Amigos!,1986,3
343,Dead Men Don't Wear Plaid,1982,5
344,The Jerk,1979,5
345,Broadway Danny Rose,1984,7
346,Husbands and Wives,1992,2
347,Shadows and Fog,1991,8
348,Radio Days,1987,6
349,Hannah and Her Sisters,1986,5
350,Zelig,1983,8
351,Love and Death,1985,7
352,Sleeper,1973,6
353,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,7
354,La Vie En Rose,2007,10
355,Nanny McPhee,2005,6
356,The Pirates of Penzance,1983,7
357,FM,1978,6
358,Space Cowboys,2000,5
359,My Fellow Americans,1996,4
360,Support Your Local Sheriff!,1969,6
361,Chariots of Fire,1981,7
362,Risky Business,1983,7
363,Firestarter,1984,5
364,Patton,1970,8
365,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,7
366,The Sensation of Sight,2006,10
367,Rhinoceros,1974,7
368,The Producers,1968,6
369,Airport 1975,1974,3
370,Family Plot,1976,6
371,Small Soldiers,1998,4
372,Naked Gun 33 1/3: The Final Insult,1994,6
373,The Naked Gun 2½: The Smell of Fear,1991,6
374,The Naked Gun: From the Files of Police Squad!,1988,6
375,Airport '77,1977,4
376,Earthquake,1974,3
377,Airport,1970,8
378,The Natural,1984,6
379,Topaz,1969,7
380,Torn Curtain,1966,7
381,Marnie,1964,4
382,The Birds,1963,2
383,Psycho,1960,6
384,Vertigo,1958,8
385,The Man Who Knew Too Much,1956,6
386,The Trouble with Harry,1955,8
387,To Catch a Thief,1955,7
388,Dial M for Murder,1954,7
389,Strangers on a Train,1951,7
390,Shadow of a Doubt,1943,5
391,Saboteur,1942,6
392,The Lady Vanishes,1938,6
393,The Man Who Knew Too Much,1934,8
394,The Addams Family,1991,7
395,Romancing the Stone,1984,7
396,Raiders of the Lost Ark,1981,8
397,"Oh, God!",1977,4
398,Passion in the Desert,1997,8
399,Iceman,1984,6
400,Rabbit-Proof Fence,2002,9
401,Lean on Me,1998,7
402,Six Days and Seven Nights,1998,5
403,Planet of the Apes,1968,4
404,Spies Like Us,1985,4
405,The Matrix,1999,6
406,Out of Africa,1985,5
407,Enemy of the State,1998,4
408,The Fisher King,1991,9
409,Holiday Inn,1942,5
410,Backdraft,1991,7
411,Die Hard,1988,7
412,The Pope of Greenwich Village,1984,6
413,The Deep,1977,5
414,The Animal,2001,3
415,Brazil,1985,5
416,The Boys from Brazil,1977,5
417,Shrek,2001,8
418,Encino Man,1992,3
419,Falling Down,1993,4
420,Ghost Busters,1984,6
421,Siam Sunset,1999,7
422,Dead Poets Society,1989,4
423,Dances with Wolves,1990,7
424,Field of Dreams,1989,7
425,The Missionary,1992,3
426,The Apostle,1997,9
427,Halloween,1978,5
428,Inkheart,2008,7
429,Journey to the Center of the Earth,2006,4
430,Looney Tunes: Back in Action,2003,4
431,Woman of the Year,1942,9
432,Houseboat,1958,4
433,Lemony Snicket's Series of Unfortunate Events,2004,5
434,The Price of Milk,2000,7
435,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,8
436,The Full Monty,1997,8
437,The Great Buck Howard,2008,7
438,The Last Starfighter,1984,5
439,The Iron Giant,1999,4
440,Tank,1984,3
441,The Music Man,1962,4
442,Osmosis Jones,1999,3
443,E. T. The Extraterrestrial,1982,7
444,The King of Comedy,1982,6
445,Rabbit Test,1978,2
446,Cold Turkey,1971,7
447,Jabberwocky,1977,4
448,Moulin Rouge!,2001,8
449,From Noon Till Three,1976,8
450,Charlie Wilson's War,2007,6
451,Finding Nemo,2003,8
452,Camilla,1994,3
453,Kind Hearts and Coronets,1949,4
454,Bruno,2000,6
455,Thirteen Days,2000,8
456,Intolerable Cruelty,2003,5
457,The Ice Pirates,1984,4
458,The Jungle Book,1967,8
459,Kelly's Heroes,1970,7
460,Bullets over Broadway,1994,7
461,The Girl in the Cafe,2005,6
462,No Country for Old Men,2007,4
463,Finding Neverland,2004,6
464,Charlie and the Chocolate Factory,2005,4
465,August Rush,2007,3
466,Waking Ned Devine,1998,7
467,Greenfingers,2000,6
468,Gorky Park,1983,5
469,The Front,1976,7
470,Monte Walsh,2003,1
471,The In-Laws,1979,8
472,The Dream Team,1989,4
